	Trapezius	Latissimus Dorsi	Serratus Posterior Superior	Serratus Posterior Inferior	Levator Scapulae	Rhomboid Minor	Rhomboid Major	Serratus Anterior	Deltoid	Supraspinatus	Infraspinatus	Teres Minor	Teres Major	Subscapularis	Subclavius	Pectoralis Major	Pectoralis Minor	Coracobrachialis	Biceps Brachii	Brachialis	Triceps Brachii 	Anconeus	Pronator Teres	Flexor Carpi Radialis	Palmaris Longus	Flexor Carpi Ulnaris	Flexor Digitorum Superficialis	Flexor Digitorum Profundus	Flexor Pollicis Longus	Pronator Quadratus	Brachioradialis	Extensor Carpi Radialis Longus	Extensor Carpi Radialis Brevis	Extensor Digitorum	Extensor Digiti Minimi	Extensor Carpi Ulnaris	Supinator	Abductor Pollicis Longus	Extensor Pollicis Brevis	Extensor Pollicis Longus	Extensor Indicis	Abductor Pollicis Brevis	Flexor Pollicis Brevis	Opponens Pollicis	Adductor Pollicis	Palmaris Brevis	Abductor Digiti Minimi	Flexor Digiti Minimi Brevis	Opponens Digiti Minimi	Palmar Interossei 1	Palmar Interossei 2	Palmar Interossei  3	Dorsal Interossei 1	Dorsal Interossei 2	Dorsal Interossei 3	Dorsal Interossei 4	Lumbrical 1	Lumbrical 2	Lumbrical 3	Lumbrical 4	Splenius Capitis	Splenius Cervicis	Iliocostalis Lumborum	Iliocostalis Thoracis	Iliocostalis Cervicis	Longissimus Thoracis	Longissimus Cervicis	Longissimus Capitis	Spinalis Thoracis	Spinalis Cervicis	Spinalis Capitis	Semispinalis Thoracis	Semispinalis Cervicis	Semispinalis Capitis	Multifidus	Interspinalis 1	Interspinalis 2	Interspinalis 3	Interspinalis 4	Interspinalis 5	Interspinalis 6	Interspinalis 7	Interspinalis 8	Interspinalis 9	Interspinalis 10	Interspinalis 11	Interspinalis 12	Rotatores 1	Rotatores 2	Rotatores 3	Rotatores 4	Rotatores 5	Rotatores 6	Rotatores 7	Rotatores 8	Rotatores 9	Rotatores 10	Rotatores 11	Intertransverse 1	Intertransverse 2	Intertransverse 3	Intertransverse 4	Intertransverse 5	Intertransverse 6	Intertransverse 7	Intertransverse 8	Intertransverse 9	Intertransverse 10	Intertransverse 11	Intertransverse 12	Intertransverse 13	Intertransverse 14	Obliquus Capitis Inferior	Obliquus Capitis Superior	Rectus Capitis Posterior Major	Rectus Capitis Posterior Minor	Longus Colli	Longus Capitis	Rectus Capitis Anterior	Rectus Capitis Lateralis	Anterior Scalene	Scalene Minimus	Middle Scalene	Posterior Scalene	Sternocleidomastoid	Platysma	Sternohyoid	Omohyoid	Sternothyroid	Thryohyoid	Stylohyoid	Digastric	Mylohyoid	Geniohyoid	Occipitalis	Frontalis	Orbicularis Oculi	Corrugator Supercilii	Orbicularis Oris	Levator Labii Superioris Alaeque Nasi	Levator Labii Superioris	Zygomaticus Minor	Zygomaticus Major	Levator Anguli Oris	Buccinator	Depressor Anguli Oris	Masseter	Medial Pterygoid	Lateral Pterygoid	Levator Palpebrae Superioris	Lateral Rectus	Medial Rectus	Superior Rectus	Inferior Rectus	Superior Oblique	Inferior Oblique	Tensor Fascia Lata	Gluteus Maximus	Gluteus Medius	Gluteus Minimus	Piriformis	Superior Gemellus	Inferior Gemellus	Obturator Internus	Quadratus Femoris	Semitendinosus	Semimembranosus	Biceps Femoris	Adductor Longus	Adductor Brevis	Adductor Magnus	Gracilis	Obturator Externus	Sartorius	Rectus Femoris	Vastus Lateralis	Vastus Intermedius	Vastus Medialis	Articularis Genus	Psoas Major	Iliacus	Pectineus	Gastrocnemius	Soleus	Plantaris	Popliteus	Flexor Digitorum Longus	Tibialis Posterior	Flexor Hallucis Longus	Peroneus Longus	Peroneus Brevis	Tibialis Anterior	Extensor Hallucis Longus	Extensor Digitorum Longus	Peroneus Tertius	Abductor Hallucis	Flexor Digitorum Brevis	Abductor Digiti Minimi	Abductor Ossis Metatarsi Quinti	Quadratus Plantae	Lumbrical 1	Lumbrical 2	Lumbrical 3	Lumbrical 4	Flexor Hallucis Brevis	Adductor Hallucis	Flexor Digiti Minimi Brevis	Plantar Interossei 1	Plantar Interossei 2	Plantar Interossei 3	Dorsal Interossei 1	Dorsal Interossei 2	Dorsal Interossei 3	Dorsal Interossei 4	Extensor Hallucis Brevis	Extensor Digitorum Brevis	Cricothryoid	Posterior cricoarytenoid	Lateral cricoarytenoid	Transversus arytenoid	Vocalis	Thyroarytenoid	Oblique arytenoid	Aryepiglottic	Thyroepiglottic	External intercostal 1	External intercostal 2	External intercostal 3	External intercostal 4	External intercostal 5	External intercostal 6	External intercostal 7	External intercostal 8	External intercostal 9	External intercostal 10	External intercostal 11	Internal intercostal 1	Internal intercostal 2	Internal intercostal 3	Internal intercostal 4	Internal intercostal 5	Internal intercostal 6	Internal intercostal 7	Internal intercostal 8	Internal intercostal 9	Internal intercostal 10	Internal intercostal 11	Innermost intercostal 1	Innermost intercostal 2	Innermost intercostal 3	Innermost intercostal 4	Innermost intercostal 5	Innermost intercostal 6	Innermost intercostal 7	Innermost intercostal 8	Innermost intercostal 9	Innermost intercostal 10	Innermost intercostal 11	Subcostalis 1	Subcostalis 2	Subcostalis 3	Subcostalis 4	Subcostalis 6	Diaphragm	External oblique	Internal oblique	Transversus abdominis 	Rectus abdominis	Pyramidalis	Quadratus lumborum	
External Occipital Protuberance	1																																																																																																																																						1																																																																																																																																								
Occipital Bone	1																																																												1	1									1			1																																								1	1	1		1	1	1															1																																																																																																																																								
Ligamentum Nuchae	1					1																																																							1																																																																																																																																																																																																																		
C1 (Atlas)	1				1																																																																																														1														1	1		1	1		1	1			1																																																																																																																																																				
C2 (Axis)	1				1																																																														1			1			1		1	1																							1	1													1		1								1																																																																																																																																																				
C3	1				1																																																								1						1						1		1	1	1																							1	1																	1			1		1																																																																																																																																																				
C4	1				1																																																								1				1		1	1					1	1	1		1	1																							1	1																1			1		1																																																																																																																																																				
C5	1																																																												1				1		1	1			1	1	1	1	1			1	1																							1	1														1	1			1		1	1																																																																																																																																																			
C6	1																																																												1				1		1	1		1	1	1	1	1	1				1	1																							1	1													1	1			1	1	1	1																																																																																																																																																			
C7	1		1			1																																																							1							1		1	1	1	1	1	1					1	1																							1	1												1					1	1																																																																																																																																																				
T1	1		1			1																																																							1					1	1	1		1	1	1	1	1	1						1	1						1																	1	1											1																																																																																																																																																										
T2	1		1				1																																																						1					1	1	1		1	1	1	1	1	1							1						1	1																	1	1										1																																																																																																																																																										
T3	1						1																																																						1	1				1	1	1	1		1	1	1	1	1														1	1																	1										1																																																																																																																																																										
T4	1						1																																																							1				1	1	1	1		1		1	1	1															1	1																																																																																																																																																																																				
T5	1						1																																																							1				1	1		1				1	1	1																1	1																																																																																																																																																																																			
T6	1																																																													1				1			1			1	1	1	1																	1	1																																																																																																																																																																																		
T7	1	1																																																																1			1			1			1																		1	1																																																																																																																																																																																	
T8	1	1																																																																1			1			1			1																			1	1																																																																																																																																																																																
T9	1	1																																																																1			1			1			1																				1	1																																																																																																																																																																															
T10	1	1																																																													1			1			1			1			1																					1	1																																																																																																																																																																														
T11	1	1		1																																																											1			1			1			1			1								1														1	1																																																																																																																																																																													
T12	1	1		1																																																											1			1			1			1			1								1															1										1																																																																								1																																																																																											
L1		1		1																																																											1			1			1						1									1																								1	1																																																																							1																																																																																				1						1	
L2		1		1																																																											1			1			1						1									1	1																								1	1																																																																						1																																																																																				1						1	
L3		1																																																													1			1			1						1										1	1																								1	1																																																																					1																																																																																										1	
L4		1																																																													1			1			1						1											1	1																								1	1																																																																				1																																																																																										1	
L5		1																																																																									1												1																									1																																																																				1																																																																																											
Clavicle	1								1						1	1																																																																																																													1		1	1																																																																																																																																															
Acromion	1								1																																																																																																																																																																																																																																																																						
Scapula	1	1			1	1	1	1	1	1	1	1	1	1			1	1	1		1																																																																																																											1																																																																																																																																															
Iliac Crest		1																																																													1			1			1																																																																																								1																																																																																																												1	1	1			1	
Sternum																1																																																																																																													1		1		1																																																																																																																																							1				1			
Ribs 1								1							1	1																																																1	1	1																																																							1	1	1																																																																																																							1											1											1																							
Ribs 2			1					1								1																																																1	1	1																																																										1																																																																																																						1	1										1	1										1	1																						
Ribs 3			1					1								1	1																																															1	1	1																																																																																																																																																																	1	1										1	1										1	1																					
Ribs 4			1					1								1	1																																															1	1	1																																																																																																																																																																		1	1										1	1										1	1								1	1											
Ribs 5			1					1								1	1																																															1	1	1																																																																																																																																																																			1	1										1	1										1	1							1						1			1			
Ribs 6								1								1																																															1	1	1	1																																																																																																																																																																				1	1										1	1										1	1							1	1		1		1			1			
Ribs 7								1																																																							1	1		1																																																																																																																																																																					1	1										1	1										1	1								1	1	1	1		1	1			
Ribs 8								1																																																							1	1		1																																																																																																																																																																						1	1										1	1										1	1									1	1		1				
Ribs 9				1																																																											1	1		1																																																																																																																																																																							1	1										1	1										1	1					1	1		1	1		1				
Ribs 10		1		1																																																											1	1		1																																																																																																																																																																								1	1										1	1										1	1							1	1	1	1				
Ribs 11		1		1																																																											1	1		1																																																																																																																																																																									1	1										1	1										1	1						1	1	1	1				
Ribs 12		1		1																																																											1	1		1																																																																																																																																																																										1											1											1						1	1	1	1			1	
Humerus		1							1	1	1	1	1	1		1		1	1	1	1	1									1	1					1																																																																																																																																																																																																																																										
Common Flexor Tendon																							1	1	1	1	1																																																																																																																																																																																																																																																				
Common Extensor Tendon																																	1	1	1	1																																																																																																																																																																																																																																											
Aponeurosis of External Oblique																1																																																																																																																																																																																																																																																															
Bicipital Aponeurosis																			1																																																																																																																																																																																																																																																												
Radius																			1				1				1		1	1	1						1	1	1																																																																																																																																																																																																																																								
Ulna																				1	1	1	1			1	1	1	1	1						1	1	1		1	1																																																																																																																																																																																																																																						
Annular Ligament																																					1																																																																																																																																																																																																																																										
Radial Collateral Ligament																																	1				1																																																																																																																																																																																																																																										
Interosseous Membrane of Forearm																												1										1	1	1	1																																																																																																																																																																																																																																						
Hand Metacarpal 1																				 																		1						1	1								1																																																																																																																																																																																																																										
Hand Metacarpal 2																								1								1													1					1			1	1																																																																																																																																																																																																																									
Hand Metacarpal 3																								1									1												1									1	1																																																																																																																																																																																																																								
Hand Metacarpal 4																																																			1				1	1																																																																																																																																																																																																																							
Hand Metacarpal 5																										1										1													1			1				1																																																																																																																																																																																																																							
Hand Flexor Retinaculum																									1																	1	1	1				1	1																																																																																																																																																																																																																														
Antebrachial Fascia																					1		1	1	1						1		1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																						
Palmar Aponeurosis																									1																					1																																																																																																																																																																																																																																	
Pisiform																										1																			1	1	1																																																																																																																																																																																																																																
Hamate																										1																						1	1																																																																																																																																																																																																																														
Trapezium																																										1	1	1																																																																																																																																																																																																																																			
Trapezoid																																													1																																																																																																																																																																																																																																		
Capitate																																													1																																																																																																																																																																																																																																		
Hand Proximal Phalanx 1																																							1			1	1		1																																																																																																																																																																																																																																		
Hand Proximal Phalanx 2																																																		1			1																																																																																																																																																																																																																										
Hand Proximal Phalanx 3																																																						1																																																																																																																																																																																																																									
Hand Proximal Phalanx 4																																																			1				1																																																																																																																																																																																																																								
Hand Proximal Phalanx 5																																															1	1				1				1																																																																																																																																																																																																																							
Hand Middle Phalanx 2																											1							1							1																																																																																																																																																																																																																																						
Hand Middle Phalanx 3																											1							1																																																																																																																																																																																																																																													
Hand Middle Phalanx 4																											1							1																																																																																																																																																																																																																																													
Hand Middle Phalanx 5																											1							1	1																																																																																																																																																																																																																																												
Hand Distal Phalanx 1																												1	1											1																																																																																																																																																																																																																																							
Hand Distal Phalanx 2																												1						1							1																																																																																																																																																																																																																																						
Hand Distal Phalanx 3																												1						1																																																																																																																																																																																																																																													
Hand Distal Phalanx 4																												1						1																																																																																																																																																																																																																																													
Hand Distal Phalanx 5																																		1	1																																																																																																																																																																																																																																												
Hand Extensor Hood 2																																																		1			1				1																																																																																																																																																																																																																						
Hand Extensor Hood 3																																																						1				1																																																																																																																																																																																																																					
Hand Extensor Hood 4																																																			1				1				1																																																																																																																																																																																																																				
Hand Extensor Hood 5																																																				1				1				1																																																																																																																																																																																																																			
Flexor Digitorum Profundus Tendon																																																									1	1	1	1																																																																																																																																																																																																																			
Temporal Bone																																																													1	1						1																																																									1						1	1																																																																																																																																											
Sacrum		1																																																													1			1			1						1																																																																																			1			1																																																																																																														
Mandible																																																																																																																														1						1	1	1					1						1	1	1	1	1																																																																																																																										
Pectoralis Major/Deltoid Fascia																																																																																																																														1																																																																																																																																																	
Hyoid Bone																																																																																																																															1	1		1	1	1	1	1																																																																																																																																									
Thyroid Cartilage																																																																																																																																	1	1																																																																																							1				1	1																																																	
Galea Aponeurosis																																																																																																																																							1	1																																																																																																																																							
Skin Above Eyes and Nose																																																																																																																																								1		1																																																																																																																																					
Frontal Bone																																																																																																																																									1	1																																																																																																																																					
Palpebral Ligament																																																																																																																																									1																																																																																																																																						
Lacrimal Bone																																																																																																																																									1																																																																																																																																						
Lateral Palpebral Raphe																																																																																																																																									1																																																																																																																																						
Maxilla																																																																																																																																											1	1				1	1		1																																																																																																																												
Skin Around Mouth																																																																																																																																											1																																																																																																																																				
Upper Lip Muscles																																																																																																																																												1	1																																																																																																																																		
Nasal Cartilage																																																																																																																																												1																																																																																																																																			
Infraorbital Margin																																																																																																																																													1																																																																																																																																		
Skin of Upper Lip																																																																																																																																														1																																																																																																																																	
Zygomatic Bone																																																																																																																																														1	1				1																																																																																																																												
Modiolus of Mouth																																																																																																																																															1	1	1	1																																																																																																																													
